"","id","group","year","wasi_fsiq2"
"C08.Control.Y1","C08","Control","Y1",101
"C17.Control.Y1","C17","Control","Y1",105
"C19.Control.Y1","C19","Control","Y1",101
"M01.Music.Y1","M01","Music","Y1",94
"M03.Music.Y1","M03","Music","Y1",103
"M11.Music.Y1","M11","Music","Y1",88
"M15.Music.Y1","M15","Music","Y1",100
"S05.Sport.Y1","S05","Sport","Y1",114
"S10.Sport.Y1","S10","Sport","Y1",99
"S14.Sport.Y1","S14","Sport","Y1",103
"S22.Sport.Y1","S22","Sport","Y1",98
"C01.Control.Y1","C01","Control","Y1",87
"C05.Control.Y1","C05","Control","Y1",107
"C06.Control.Y1","C06","Control","Y1",82
"C11.Control.Y1","C11","Control","Y1",87
"C12.Control.Y1","C12","Control","Y1",87
"C18.Control.Y1","C18","Control","Y1",118
"M08.Music.Y1","M08","Music","Y1",105
"C10.Control.Y1","C10","Control","Y1",110
"C16.Control.Y1","C16","Control","Y1",105
"S15.Sport.Y1","S15","Sport","Y1",89
"S21.Sport.Y1","S21","Sport","Y1",105
"C09.Control.Y1","C09","Control","Y1",107
"S02.Sport.Y1","S02","Sport","Y1",83
"S32.Sport.Y1","S32","Sport","Y1",91
"M102.Music.Y2","M102","Music","Y2",85
"M106.Music.Y2","M106","Music","Y2",86
"M107.Music.Y2","M107","Music","Y2",75
"M108.Music.Y2","M108","Music","Y2",111
"M109.Music.Y2","M109","Music","Y2",101
"M112.Music.Y2","M112","Music","Y2",106
"M113.Music.Y2","M113","Music","Y2",92
"S101.Sport.Y2","S101","Sport","Y2",81
"S103.Sport.Y2","S103","Sport","Y2",94
"S104.Sport.Y2","S104","Sport","Y2",89
"S105.Sport.Y2","S105","Sport","Y2",100
"S107.Sport.Y2","S107","Sport","Y2",94
"S108.Sport.Y2","S108","Sport","Y2",105
"S109.Sport.Y2","S109","Sport","Y2",97
"S110.Sport.Y2","S110","Sport","Y2",98
"S111.Sport.Y2","S111","Sport","Y2",91
"S114.Sport.Y2","S114","Sport","Y2",94
"S117.Sport.Y2","S117","Sport","Y2",111
"C101.Control.Y2","C101","Control","Y2",86
"C102.Control.Y2","C102","Control","Y2",87
"C107.Control.Y2","C107","Control","Y2",124
"C108.Control.Y2","C108","Control","Y2",102
"C109.Control.Y2","C109","Control","Y2",109
"C111.Control.Y2","C111","Control","Y2",84
"C112.Control.Y2","C112","Control","Y2",82
"C113.Control.Y2","C113","Control","Y2",80
"C114.Control.Y2","C114","Control","Y2",94
"C116.Control.Y2","C116","Control","Y2",89
"C104.Control.Y2","C104","Control","Y2",83
"M105.Music.Y2","M105","Music","Y2",77
"S112.Sport.Y2","S112","Sport","Y2",87
"C115.Control.Y2","C115","Control","Y2",109
"M101.Music.Y2","M101","Music","Y2",102
"M104.Music.Y2","M104","Music","Y2",NA
"M110.Music.Y2","M110","Music","Y2",NA
"M111.Music.Y2","M111","Music","Y2",NA
"S106.Sport.Y2","S106","Sport","Y2",NA
"C106.Control.Y2","C106","Control","Y2",NA
"M02.Music.Y2","M02","Music","Y2",109
"M04.Music.Y2","M04","Music","Y2",102
"M05.Music.Y2","M05","Music","Y2",122
"M06.Music.Y2","M06","Music","Y2",90
"M07.Music.Y2","M07","Music","Y2",99
"M09.Music.Y2","M09","Music","Y2",135
"M10.Music.Y2","M10","Music","Y2",85
"M12.Music.Y2","M12","Music","Y2",102
"M17.Music.Y2","M17","Music","Y2",102
"S01.Sport.Y2","S01","Sport","Y2",87
"S04.Sport.Y2","S04","Sport","Y2",109
"S07.Sport.Y2","S07","Sport","Y2",90
"S08.Sport.Y2","S08","Sport","Y2",108
"S17.Sport.Y2","S17","Sport","Y2",105
"S28.Sport.Y2","S28","Sport","Y2",108
"S31.Sport.Y2","S31","Sport","Y2",133
"C02.Control.Y2","C02","Control","Y2",94
"C03.Control.Y2","C03","Control","Y2",94
"C04.Control.Y2","C04","Control","Y2",111
"C07.Control.Y2","C07","Control","Y2",101
"C08.Control.Y2","C08","Control","Y2",95
"C17.Control.Y2","C17","Control","Y2",94
"C19.Control.Y2","C19","Control","Y2",93
"M01.Music.Y2","M01","Music","Y2",94
"M03.Music.Y2","M03","Music","Y2",90
"M11.Music.Y2","M11","Music","Y2",91
"M15.Music.Y2","M15","Music","Y2",104
"S05.Sport.Y2","S05","Sport","Y2",109
"S10.Sport.Y2","S10","Sport","Y2",78
"S14.Sport.Y2","S14","Sport","Y2",106
"S22.Sport.Y2","S22","Sport","Y2",102
"C01.Control.Y2","C01","Control","Y2",107
"C05.Control.Y2","C05","Control","Y2",94
"C06.Control.Y2","C06","Control","Y2",74
"C11.Control.Y2","C11","Control","Y2",87
"C12.Control.Y2","C12","Control","Y2",79
"C18.Control.Y2","C18","Control","Y2",124
"M08.Music.Y2","M08","Music","Y2",105
"C10.Control.Y2","C10","Control","Y2",118
"C16.Control.Y2","C16","Control","Y2",94
"S15.Sport.Y2","S15","Sport","Y2",NA
"S21.Sport.Y2","S21","Sport","Y2",NA
"C09.Control.Y2","C09","Control","Y2",NA
"S02.Sport.Y2","S02","Sport","Y2",NA
"S32.Sport.Y2","S32","Sport","Y2",NA
"M102.Music.Y3","M102","Music","Y3",81
