"","id","group","year","mep_total"
"S08.Sport.Y5","S08","Sport","Y5",3
"S17.Sport.Y5","S17","Sport","Y5",2
"S28.Sport.Y5","S28","Sport","Y5",2
"S31.Sport.Y5","S31","Sport","Y5",2
"C02.Control.Y5","C02","Control","Y5",2
"C03.Control.Y5","C03","Control","Y5",4
"C04.Control.Y5","C04","Control","Y5",2
"C07.Control.Y5","C07","Control","Y5",2
"C08.Control.Y5","C08","Control","Y5",1
"C17.Control.Y5","C17","Control","Y5",2
"C19.Control.Y5","C19","Control","Y5",2
"M01.Music.Y5","M01","Music","Y5",3
"M03.Music.Y5","M03","Music","Y5",4
"M11.Music.Y5","M11","Music","Y5",4
"M15.Music.Y5","M15","Music","Y5",2
"S05.Sport.Y5","S05","Sport","Y5",4
"S10.Sport.Y5","S10","Sport","Y5",NA
"S14.Sport.Y5","S14","Sport","Y5",2
"S22.Sport.Y5","S22","Sport","Y5",3
"C01.Control.Y5","C01","Control","Y5",2
"C05.Control.Y5","C05","Control","Y5",NA
"C06.Control.Y5","C06","Control","Y5",4
"C11.Control.Y5","C11","Control","Y5",NA
"C12.Control.Y5","C12","Control","Y5",3
"C18.Control.Y5","C18","Control","Y5",3
"M08.Music.Y5","M08","Music","Y5",NA
"C10.Control.Y5","C10","Control","Y5",NA
"C16.Control.Y5","C16","Control","Y5",NA
"S15.Sport.Y5","S15","Sport","Y5",NA
"S21.Sport.Y5","S21","Sport","Y5",NA
"C09.Control.Y5","C09","Control","Y5",NA
"S02.Sport.Y5","S02","Sport","Y5",NA
"S32.Sport.Y5","S32","Sport","Y5",NA
"M102.Music.Y7","M102","Music","Y7",2
"M106.Music.Y7","M106","Music","Y7",NA
"M107.Music.Y7","M107","Music","Y7",NA
"M108.Music.Y7","M108","Music","Y7",4
"M109.Music.Y7","M109","Music","Y7",NA
"M112.Music.Y7","M112","Music","Y7",NA
"M113.Music.Y7","M113","Music","Y7",NA
"S101.Sport.Y7","S101","Sport","Y7",NA
"S103.Sport.Y7","S103","Sport","Y7",3
"S104.Sport.Y7","S104","Sport","Y7",NA
"S105.Sport.Y7","S105","Sport","Y7",4
"S107.Sport.Y7","S107","Sport","Y7",NA
