"","id","group","year","wasi_vci"
"S17.Sport.Y2","S17","Sport","Y2",113
"S28.Sport.Y2","S28","Sport","Y2",98
"S31.Sport.Y2","S31","Sport","Y2",130
"C02.Control.Y2","C02","Control","Y2",101
"C03.Control.Y2","C03","Control","Y2",79
"C04.Control.Y2","C04","Control","Y2",105
"C07.Control.Y2","C07","Control","Y2",104
"C08.Control.Y2","C08","Control","Y2",91
"C17.Control.Y2","C17","Control","Y2",95
"C19.Control.Y2","C19","Control","Y2",93
"M01.Music.Y2","M01","Music","Y2",104
"M03.Music.Y2","M03","Music","Y2",86
"M11.Music.Y2","M11","Music","Y2",80
"M15.Music.Y2","M15","Music","Y2",99
"S05.Sport.Y2","S05","Sport","Y2",105
"S10.Sport.Y2","S10","Sport","Y2",97
"S14.Sport.Y2","S14","Sport","Y2",110
"S22.Sport.Y2","S22","Sport","Y2",94
"C01.Control.Y2","C01","Control","Y2",103
"C05.Control.Y2","C05","Control","Y2",108
"C06.Control.Y2","C06","Control","Y2",86
"C11.Control.Y2","C11","Control","Y2",86
"C12.Control.Y2","C12","Control","Y2",80
"C18.Control.Y2","C18","Control","Y2",119
"M08.Music.Y2","M08","Music","Y2",110
"C10.Control.Y2","C10","Control","Y2",123
"C16.Control.Y2","C16","Control","Y2",98
"S15.Sport.Y2","S15","Sport","Y2",NA
"S21.Sport.Y2","S21","Sport","Y2",NA
"C09.Control.Y2","C09","Control","Y2",NA
"S02.Sport.Y2","S02","Sport","Y2",NA
"S32.Sport.Y2","S32","Sport","Y2",NA
"M102.Music.Y3","M102","Music","Y3",111
"M106.Music.Y3","M106","Music","Y3",107
"M107.Music.Y3","M107","Music","Y3",79
"M108.Music.Y3","M108","Music","Y3",103
"M109.Music.Y3","M109","Music","Y3",110
"M112.Music.Y3","M112","Music","Y3",105
"M113.Music.Y3","M113","Music","Y3",87
"S101.Sport.Y3","S101","Sport","Y3",73
"S103.Sport.Y3","S103","Sport","Y3",111
"S104.Sport.Y3","S104","Sport","Y3",99
"S105.Sport.Y3","S105","Sport","Y3",109
"S107.Sport.Y3","S107","Sport","Y3",99
"S108.Sport.Y3","S108","Sport","Y3",104
"S109.Sport.Y3","S109","Sport","Y3",106
"S110.Sport.Y3","S110","Sport","Y3",85
"S111.Sport.Y3","S111","Sport","Y3",106
"S114.Sport.Y3","S114","Sport","Y3",88
"S117.Sport.Y3","S117","Sport","Y3",102
"C101.Control.Y3","C101","Control","Y3",82
"C102.Control.Y3","C102","Control","Y3",92
"C107.Control.Y3","C107","Control","Y3",107
"C108.Control.Y3","C108","Control","Y3",97
"C109.Control.Y3","C109","Control","Y3",108
"C111.Control.Y3","C111","Control","Y3",84
"C112.Control.Y3","C112","Control","Y3",89
