"","id","group","year","wasi_pri"
"C101.Control.Y2","C101","Control","Y2",91
"C102.Control.Y2","C102","Control","Y2",83
"C107.Control.Y2","C107","Control","Y2",123
"C108.Control.Y2","C108","Control","Y2",96
"C109.Control.Y2","C109","Control","Y2",98
"C111.Control.Y2","C111","Control","Y2",87
"C112.Control.Y2","C112","Control","Y2",90
"C113.Control.Y2","C113","Control","Y2",93
"C114.Control.Y2","C114","Control","Y2",90
"C116.Control.Y2","C116","Control","Y2",112
"C104.Control.Y2","C104","Control","Y2",85
"M105.Music.Y2","M105","Music","Y2",80
"S112.Sport.Y2","S112","Sport","Y2",91
"C115.Control.Y2","C115","Control","Y2",105
"M101.Music.Y2","M101","Music","Y2",94
"M104.Music.Y2","M104","Music","Y2",NA
"M110.Music.Y2","M110","Music","Y2",NA
"M111.Music.Y2","M111","Music","Y2",NA
"S106.Sport.Y2","S106","Sport","Y2",NA
"C106.Control.Y2","C106","Control","Y2",NA
"M02.Music.Y2","M02","Music","Y2",102
"M04.Music.Y2","M04","Music","Y2",96
"M05.Music.Y2","M05","Music","Y2",120
"M06.Music.Y2","M06","Music","Y2",98
"M07.Music.Y2","M07","Music","Y2",106
"M09.Music.Y2","M09","Music","Y2",132
"M10.Music.Y2","M10","Music","Y2",96
"M12.Music.Y2","M12","Music","Y2",105
"M17.Music.Y2","M17","Music","Y2",96
"S01.Sport.Y2","S01","Sport","Y2",89
"S04.Sport.Y2","S04","Sport","Y2",93
"S07.Sport.Y2","S07","Sport","Y2",87
"S08.Sport.Y2","S08","Sport","Y2",106
"S17.Sport.Y2","S17","Sport","Y2",95
"S28.Sport.Y2","S28","Sport","Y2",111
"S31.Sport.Y2","S31","Sport","Y2",119
"C02.Control.Y2","C02","Control","Y2",100
"C03.Control.Y2","C03","Control","Y2",109
"C04.Control.Y2","C04","Control","Y2",110
"C07.Control.Y2","C07","Control","Y2",85
"C08.Control.Y2","C08","Control","Y2",107
"C17.Control.Y2","C17","Control","Y2",98
"C19.Control.Y2","C19","Control","Y2",90
"M01.Music.Y2","M01","Music","Y2",105
"M03.Music.Y2","M03","Music","Y2",99
"M11.Music.Y2","M11","Music","Y2",99
"M15.Music.Y2","M15","Music","Y2",95
"S05.Sport.Y2","S05","Sport","Y2",105
"S10.Sport.Y2","S10","Sport","Y2",79
"S14.Sport.Y2","S14","Sport","Y2",100
"S22.Sport.Y2","S22","Sport","Y2",93
"C01.Control.Y2","C01","Control","Y2",104
"C05.Control.Y2","C05","Control","Y2",90
"C06.Control.Y2","C06","Control","Y2",72
"C11.Control.Y2","C11","Control","Y2",93
"C12.Control.Y2","C12","Control","Y2",79
"C18.Control.Y2","C18","Control","Y2",120
"M08.Music.Y2","M08","Music","Y2",113
"C10.Control.Y2","C10","Control","Y2",96
"C16.Control.Y2","C16","Control","Y2",98
"S15.Sport.Y2","S15","Sport","Y2",NA
"S21.Sport.Y2","S21","Sport","Y2",NA
"C09.Control.Y2","C09","Control","Y2",NA
"S02.Sport.Y2","S02","Sport","Y2",NA
"S32.Sport.Y2","S32","Sport","Y2",NA
"M102.Music.Y3","M102","Music","Y3",77
"M106.Music.Y3","M106","Music","Y3",94
"M107.Music.Y3","M107","Music","Y3",79
"M108.Music.Y3","M108","Music","Y3",117
"M109.Music.Y3","M109","Music","Y3",109
"M112.Music.Y3","M112","Music","Y3",112
"M113.Music.Y3","M113","Music","Y3",87
"S101.Sport.Y3","S101","Sport","Y3",95
"S103.Sport.Y3","S103","Sport","Y3",83
"S104.Sport.Y3","S104","Sport","Y3",75
"S105.Sport.Y3","S105","Sport","Y3",96
"S107.Sport.Y3","S107","Sport","Y3",88
"S108.Sport.Y3","S108","Sport","Y3",80
"S109.Sport.Y3","S109","Sport","Y3",83
"S110.Sport.Y3","S110","Sport","Y3",80
"S111.Sport.Y3","S111","Sport","Y3",78
"S114.Sport.Y3","S114","Sport","Y3",92
"S117.Sport.Y3","S117","Sport","Y3",84
"C101.Control.Y3","C101","Control","Y3",86
"C102.Control.Y3","C102","Control","Y3",90
"C107.Control.Y3","C107","Control","Y3",107
"C108.Control.Y3","C108","Control","Y3",108
"C109.Control.Y3","C109","Control","Y3",66
"C111.Control.Y3","C111","Control","Y3",89
"C112.Control.Y3","C112","Control","Y3",79
"C113.Control.Y3","C113","Control","Y3",118
"C114.Control.Y3","C114","Control","Y3",100
"C116.Control.Y3","C116","Control","Y3",110
"C104.Control.Y3","C104","Control","Y3",NA
"M105.Music.Y3","M105","Music","Y3",75
"S112.Sport.Y3","S112","Sport","Y3",97
"C115.Control.Y3","C115","Control","Y3",NA
"M101.Music.Y3","M101","Music","Y3",NA
"M104.Music.Y3","M104","Music","Y3",NA
"M110.Music.Y3","M110","Music","Y3",NA
"M111.Music.Y3","M111","Music","Y3",NA
"S106.Sport.Y3","S106","Sport","Y3",NA
"C106.Control.Y3","C106","Control","Y3",NA
"M02.Music.Y3","M02","Music","Y3",95
"M04.Music.Y3","M04","Music","Y3",102
"M05.Music.Y3","M05","Music","Y3",127
"M06.Music.Y3","M06","Music","Y3",110
"M07.Music.Y3","M07","Music","Y3",115
"M09.Music.Y3","M09","Music","Y3",137
"M10.Music.Y3","M10","Music","Y3",124
"M12.Music.Y3","M12","Music","Y3",86
"M17.Music.Y3","M17","Music","Y3",98
"S01.Sport.Y3","S01","Sport","Y3",100
"S04.Sport.Y3","S04","Sport","Y3",103
"S07.Sport.Y3","S07","Sport","Y3",77
"S08.Sport.Y3","S08","Sport","Y3",98
"S17.Sport.Y3","S17","Sport","Y3",83
"S28.Sport.Y3","S28","Sport","Y3",104
"S31.Sport.Y3","S31","Sport","Y3",105
"C02.Control.Y3","C02","Control","Y3",98
"C03.Control.Y3","C03","Control","Y3",112
"C04.Control.Y3","C04","Control","Y3",116
"C07.Control.Y3","C07","Control","Y3",92
"C08.Control.Y3","C08","Control","Y3",105
"C17.Control.Y3","C17","Control","Y3",99
"C19.Control.Y3","C19","Control","Y3",88
"M01.Music.Y3","M01","Music","Y3",130
"M03.Music.Y3","M03","Music","Y3",102
"M11.Music.Y3","M11","Music","Y3",87
"M15.Music.Y3","M15","Music","Y3",110
"S05.Sport.Y3","S05","Sport","Y3",101
"S10.Sport.Y3","S10","Sport","Y3",98
"S14.Sport.Y3","S14","Sport","Y3",99
"S22.Sport.Y3","S22","Sport","Y3",107
"C01.Control.Y3","C01","Control","Y3",98
"C05.Control.Y3","C05","Control","Y3",100
"C06.Control.Y3","C06","Control","Y3",83
"C11.Control.Y3","C11","Control","Y3",97
"C12.Control.Y3","C12","Control","Y3",87
"C18.Control.Y3","C18","Control","Y3",121
"M08.Music.Y3","M08","Music","Y3",NA
"C10.Control.Y3","C10","Control","Y3",NA
"C16.Control.Y3","C16","Control","Y3",NA
"S15.Sport.Y3","S15","Sport","Y3",NA
"S21.Sport.Y3","S21","Sport","Y3",NA
"C09.Control.Y3","C09","Control","Y3",NA
"S02.Sport.Y3","S02","Sport","Y3",NA
"S32.Sport.Y3","S32","Sport","Y3",NA
"M102.Music.Y4","M102","Music","Y4",83
"M106.Music.Y4","M106","Music","Y4",102
"M107.Music.Y4","M107","Music","Y4",83
"M108.Music.Y4","M108","Music","Y4",98
"M109.Music.Y4","M109","Music","Y4",97
"M112.Music.Y4","M112","Music","Y4",105
"M113.Music.Y4","M113","Music","Y4",93
"S101.Sport.Y4","S101","Sport","Y4",99
"S103.Sport.Y4","S103","Sport","Y4",87
"S104.Sport.Y4","S104","Sport","Y4",74
"S105.Sport.Y4","S105","Sport","Y4",105
"S107.Sport.Y4","S107","Sport","Y4",89
"S108.Sport.Y4","S108","Sport","Y4",97
"S109.Sport.Y4","S109","Sport","Y4",100
"S110.Sport.Y4","S110","Sport","Y4",81
"S111.Sport.Y4","S111","Sport","Y4",90
"S114.Sport.Y4","S114","Sport","Y4",87
"S117.Sport.Y4","S117","Sport","Y4",87
"C101.Control.Y4","C101","Control","Y4",84
"C102.Control.Y4","C102","Control","Y4",100
"C107.Control.Y4","C107","Control","Y4",117
"C108.Control.Y4","C108","Control","Y4",92
"C109.Control.Y4","C109","Control","Y4",83
"C111.Control.Y4","C111","Control","Y4",99
"C112.Control.Y4","C112","Control","Y4",87
"C113.Control.Y4","C113","Control","Y4",107
"C114.Control.Y4","C114","Control","Y4",92
"C116.Control.Y4","C116","Control","Y4",112
"C104.Control.Y4","C104","Control","Y4",NA
"M105.Music.Y4","M105","Music","Y4",NA
"S112.Sport.Y4","S112","Sport","Y4",NA
"C115.Control.Y4","C115","Control","Y4",NA
