"","id","group","year","wasi_fsiq4"
"M102.Music.Y1","M102","Music","Y1",91
"M106.Music.Y1","M106","Music","Y1",93
"M107.Music.Y1","M107","Music","Y1",81
"M108.Music.Y1","M108","Music","Y1",112
"M109.Music.Y1","M109","Music","Y1",90
"M112.Music.Y1","M112","Music","Y1",108
"M113.Music.Y1","M113","Music","Y1",91
"S101.Sport.Y1","S101","Sport","Y1",78
"S103.Sport.Y1","S103","Sport","Y1",97
"S104.Sport.Y1","S104","Sport","Y1",86
"S105.Sport.Y1","S105","Sport","Y1",105
"S107.Sport.Y1","S107","Sport","Y1",88
"S108.Sport.Y1","S108","Sport","Y1",105
"S109.Sport.Y1","S109","Sport","Y1",77
"S110.Sport.Y1","S110","Sport","Y1",88
"S111.Sport.Y1","S111","Sport","Y1",87
"S114.Sport.Y1","S114","Sport","Y1",102
"S117.Sport.Y1","S117","Sport","Y1",96
"C101.Control.Y1","C101","Control","Y1",88
"C102.Control.Y1","C102","Control","Y1",95
"C107.Control.Y1","C107","Control","Y1",121
"C108.Control.Y1","C108","Control","Y1",100
"C109.Control.Y1","C109","Control","Y1",94
"C111.Control.Y1","C111","Control","Y1",87
"C112.Control.Y1","C112","Control","Y1",81
"C113.Control.Y1","C113","Control","Y1",89
"C114.Control.Y1","C114","Control","Y1",100
"C116.Control.Y1","C116","Control","Y1",86
"C104.Control.Y1","C104","Control","Y1",78
"M105.Music.Y1","M105","Music","Y1",89
"S112.Sport.Y1","S112","Sport","Y1",85
"C115.Control.Y1","C115","Control","Y1",94
"M101.Music.Y1","M101","Music","Y1",94
"M104.Music.Y1","M104","Music","Y1",98
"M110.Music.Y1","M110","Music","Y1",104
"M111.Music.Y1","M111","Music","Y1",101
"S106.Sport.Y1","S106","Sport","Y1",81
"C106.Control.Y1","C106","Control","Y1",89
"M02.Music.Y1","M02","Music","Y1",96
"M04.Music.Y1","M04","Music","Y1",97
"M05.Music.Y1","M05","Music","Y1",113
"M06.Music.Y1","M06","Music","Y1",102
"M07.Music.Y1","M07","Music","Y1",105
"M09.Music.Y1","M09","Music","Y1",141
"M10.Music.Y1","M10","Music","Y1",92
"M12.Music.Y1","M12","Music","Y1",103
"M17.Music.Y1","M17","Music","Y1",104
"S01.Sport.Y1","S01","Sport","Y1",95
"S04.Sport.Y1","S04","Sport","Y1",94
"S07.Sport.Y1","S07","Sport","Y1",86
"S08.Sport.Y1","S08","Sport","Y1",111
"S17.Sport.Y1","S17","Sport","Y1",106
"S28.Sport.Y1","S28","Sport","Y1",94
"S31.Sport.Y1","S31","Sport","Y1",107
