"","id","group","wasi_fsiq2_Y1","wasi_fsiq2_Y2","wasi_fsiq2_Y3","wasi_fsiq2_Y4","wasi_fsiq2_Y5","wasi_fsiq2_Y7"
"1","M102","Music",91,85,81,88,108,87
"2","M106","Music",97,86,99,96,NA,NA
"3","M107","Music",84,75,80,84,74,NA
"4","M108","Music",121,111,113,102,116,89
"5","M109","Music",94,101,109,94,110,NA
"6","M112","Music",116,106,103,110,NA,NA
"7","M113","Music",82,92,82,85,85,NA
"8","S101","Sport",87,81,84,100,95,NA
"9","S103","Sport",102,94,98,95,105,101
"10","S104","Sport",85,89,84,89,84,NA
"11","S105","Sport",103,100,97,106,106,94
"12","S107","Sport",93,94,94,94,103,NA
"13","S108","Sport",102,105,84,109,104,99
"14","S109","Sport",72,97,94,102,101,NA
"15","S110","Sport",94,98,85,84,88,84
"16","S111","Sport",85,91,89,90,101,92
"17","S114","Sport",103,94,89,89,91,NA
"18","S117","Sport",98,111,93,95,102,91
"19","C101","Control",87,86,86,75,92,86
"20","C102","Control",98,87,96,90,75,82
"21","C107","Control",125,124,110,122,118,108
"22","C108","Control",97,102,108,100,NA,93
"23","C109","Control",104,109,84,94,103,NA
"24","C111","Control",94,84,84,82,84,89
"25","C112","Control",82,82,79,85,85,93
"26","C113","Control",82,80,102,96,89,91
"27","C114","Control",100,94,100,90,89,NA
"28","C116","Control",89,89,102,101,109,NA
"29","C104","Control",74,83,NA,NA,NA,NA
"30","M105","Music",93,77,86,NA,NA,NA
"31","S112","Sport",96,87,110,NA,NA,NA
"32","C115","Control",99,109,NA,NA,NA,NA
"33","M101","Music",92,102,NA,NA,NA,NA
"34","M104","Music",103,NA,NA,NA,NA,NA
"35","M110","Music",102,NA,NA,NA,NA,NA
"36","M111","Music",94,NA,NA,NA,NA,NA
"37","S106","Sport",88,NA,NA,NA,NA,NA
"38","C106","Control",80,NA,NA,NA,NA,NA
"39","M02","Music",105,109,94,97,102,100
"40","M04","Music",92,102,103,90,97,99
"41","M05","Music",112,122,125,109,120,113
"42","M06","Music",103,90,105,75,99,103
"43","M07","Music",107,99,111,109,111,105
"44","M09","Music",137,135,131,123,128,129
"45","M10","Music",95,85,108,104,99,93
"46","M12","Music",100,102,91,96,95,111
"47","M17","Music",105,102,104,100,110,104
"48","S01","Sport",89,87,106,101,98,92
"49","S04","Sport",102,109,116,108,102,122
"50","S07","Sport",89,90,78,89,89,84
"51","S08","Sport",107,108,102,113,108,105
"52","S17","Sport",115,105,99,106,106,94
"53","S28","Sport",96,108,103,89,96,88
"54","S31","Sport",109,133,118,117,105,98
"55","C02","Control",112,94,84,101,100,91
"56","C03","Control",81,94,94,84,89,88
"57","C04","Control",107,111,112,91,106,101
"58","C07","Control",94,101,102,99,97,102
"59","C08","Control",101,95,93,92,92,92
"60","C17","Control",105,94,106,97,102,96
"61","C19","Control",101,93,84,94,87,82
"62","M01","Music",94,94,131,119,117,NA
"63","M03","Music",103,90,95,94,95,NA
"64","M11","Music",88,91,81,76,88,NA
"65","M15","Music",100,104,96,101,103,NA
"66","S05","Sport",114,109,108,112,110,NA
"67","S10","Sport",99,78,104,NA,NA,NA
"68","S14","Sport",103,106,103,96,107,NA
"69","S22","Sport",98,102,99,109,108,NA
"70","C01","Control",87,107,95,91,99,NA
"71","C05","Control",107,94,125,115,NA,NA
"72","C06","Control",82,74,85,84,88,NA
"73","C11","Control",87,87,89,NA,NA,NA
"74","C12","Control",87,79,84,89,75,NA
"75","C18","Control",118,124,130,133,122,NA
"76","M08","Music",105,105,NA,NA,NA,NA
"77","C10","Control",110,118,NA,NA,NA,NA
"78","C16","Control",105,94,NA,NA,NA,NA
"79","S15","Sport",89,NA,NA,NA,NA,NA
"80","S21","Sport",105,NA,NA,NA,NA,NA
"81","C09","Control",107,NA,NA,NA,NA,NA
"82","S02","Sport",83,NA,NA,NA,NA,NA
"83","S32","Sport",91,NA,NA,NA,NA,NA
