"","id","group","year","wasi_age","wasi_gender","bryant_percent","empathy_conceptual","empathy_exact","rmet_percent_correct","mep_total","wasi_fsiq2","wasi_fsiq4","wasi_pri","wasi_vci","baseage"
"1","M102","Music","Y1",6.44109589,"m","0.318181818",0.75,0.75,0.392857143,NA,91,91,86,99,6.44109589
"2","M106","Music","Y1",7.21369863,"f","0.636363636",0.75,0.75,0.535714286,NA,97,93,90,98,7.21369863
"3","M107","Music","Y1",7.334246575,"m","0.5",0.5,0,0.25,NA,84,81,80,86,7.334246575
"4","M108","Music","Y1",6.339726027,"f","0.454545455",0.75,0.75,0.464285714,NA,121,112,121,102,6.339726027
"5","M109","Music","Y1",6.189041096,"m","0.409090909",0.75,0.75,0.464285714,NA,94,90,92,98,6.189041096
"6","M112","Music","Y1",6.717808219,"f","0.636363636",0.25,0.25,0.464285714,NA,116,108,109,105,6.717808219
"7","M113","Music","Y1",7.002739726,"m","0.272727273",1,0.5,0.357142857,NA,82,91,100,85,7.002739726
"8","S101","Sport","Y1",7.624657534,"f","0.545454545",0.5,0.5,0.214285714,NA,87,78,84,77,7.624657534
"9","S103","Sport","Y1",6.301369863,"f","0.545454545",0.5,0.25,0.5,NA,102,97,88,105,6.301369863
"10","S104","Sport","Y1",6.843835616,"m","0.5",1,1,0.285714286,NA,85,86,74,102,6.843835616
"11","S105","Sport","Y1",5.961643836,"f","0.454545455",1,0,0.428571429,NA,103,105,110,99,5.961643836
"12","S107","Sport","Y1",5.731506849,"f","0.590909091",0.75,0,0.428571429,NA,93,88,91,89,5.731506849
"13","S108","Sport","Y1",7.282191781,"m","0.909090909",1,0.5,0.785714286,NA,102,105,96,105,7.282191781
"14","S109","Sport","Y1",6.082191781,"m","0.5",0.25,0.25,0.5,NA,72,77,81,77,6.082191781
"15","S110","Sport","Y1",7.02739726,"f","0.454545455",1,0.5,0.464285714,NA,94,88,88,91,7.02739726
"16","S111","Sport","Y1",6.038356164,"m","0.590909091",0.75,0.75,0.571428571,NA,85,87,82,96,6.038356164
"17","S114","Sport","Y1",6.975342466,"f","0.545454545",1,0.25,0.464285714,NA,103,102,107,97,6.975342466
"18","S117","Sport","Y1",6.575342466,"f","0.5",1,0.25,0.535714286,NA,98,96,91,102,6.575342466
"19","C101","Control","Y1",7.512328767,"f","0.636363636",1,0.5,0.678571429,NA,87,88,84,95,7.512328767
"20","C102","Control","Y1",6.6,"f","0.5",1,0.666666667,0.642857143,NA,98,95,95,96,6.6
"21","C107","Control","Y1",7.243835616,"f","0.590909091",0.666666667,0.25,0.714285714,NA,125,121,116,120,7.243835616
"22","C108","Control","Y1",6.38630137,"f","0.545454545",1,1,0.428571429,NA,97,100,91,104,6.38630137
"23","C109","Control","Y1",7.317808219,"m","0.681818182",0.75,0.75,0.571428571,NA,104,94,87,102,7.317808219
"24","C111","Control","Y1",6.619178082,"f","0.636363636",0.25,0.25,0.214285714,NA,94,87,96,80,6.619178082
"25","C112","Control","Y1",7.082191781,"m","0.227272727",1,1,0.464285714,NA,82,81,86,80,7.082191781
"26","C113","Control","Y1",7.049315068,"f","0.590909091",0.5,0.25,0.25,NA,82,89,92,90,7.049315068
"27","C114","Control","Y1",6.290410959,"m","0.545454545",0,0,0.535714286,NA,100,100,93,105,6.290410959
"28","C116","Control","Y1",7.282191781,"m","0.363636364",0.75,0.75,0.285714286,NA,89,86,100,75,7.282191781
"29","C104","Control","Y1",7.542465753,"f","0.454545455",0.25,0,0.571428571,NA,74,78,79,81,7.542465753
"30","M105","Music","Y1",6.219178082,"m","0.545454545",1,1,0.25,NA,93,89,90,91,6.219178082
"31","S112","Sport","Y1",6.389041096,"m","0.772727273",1,1,0.535714286,NA,96,85,83,91,6.389041096
"32","C115","Control","Y1",7.115068493,"m","0.454545455",0.5,0,0.678571429,NA,99,94,92,98,7.115068493
